time,on/off,note,velocity,channel,param
74.5,on,59,127,1,
74.75,off,65,0,0,
74.75,on,69,127,0,
75.0,off,59,0,1,
75.0,off,69,0,0,
75.0,on,67,127,0,
75.0,on,64,127,1,
75.25,off,50,0,3,
75.25,on,47,127,3,
75.5,off,47,0,3,
75.5,on,48,127,3,
75.75,off,67,0,0,
75.75,on,76,127,0,
76.0,off,48,0,3,
76.0,off,76,0,0,
76.0,on,69,127,0,
76.0,on,53,127,3,
76.25,off,64,0,1,
76.25,on,61,127,1,
76.5,off,61,0,1,
76.5,on,62,127,1,
76.75,off,69,0,0,
76.75,on,72,127,0,
77.0,off,62,0,1,
77.0,off,72,0,0,
77.0,on,71,127,0,
77.0,on,67,127,1,
77.25,off,53,0,3,
77.25,on,50,127,3,
77.5,off,50,0,3,
77.5,on,52,127,3,
77.75,off,71,0,0,
77.75,on,79,127,0,
78.0,off,52,0,3,
78.0,off,79,0,0,
78.0,on,73,127,0,
78.0,on,52,127,2,
78.0,on,45,127,3,
78.25,off,67,0,1,
78.25,on,69,127,1,
78.5,off,69,0,1,
78.5,on,70,127,1,
78.75,off,45,0,3,
78.75,on,55,127,3,
79.0,off,73,0,0,
79.0,off,52,0,2,
79.0,off,70,0,1,
79.0,off,55,0,3,
79.0,on,74,127,0,
79.0,on,69,127,1,
79.0,on,57,127,2,
79.0,on,53,127,3,
79.25,off,53,0,3,
79.25,on,52,127,3,
79.5,off,74,0,0,
79.5,off,52,0,3,
79.5,on,76,127,0,
79.5,on,50,127,3,
79.75,off,50,0,3,
79.75,on,49,127,3,
80.0,off,57,0,2,
80.0,off,49,0,3,
80.0,on,53,127,2,
80.0,on,50,127,3,
80.25,off,76,0,0,
80.25,on,73,127,0,
80.5,off,73,0,0,
80.5,on,74,127,0,
80.75,off,50,0,3,
80.75,on,41,127,3,
81.0,off,53,0,2,
81.0,off,41,0,3,
81.0,on,50,127,2,
81.0,on,46,127,3,
81.25,off,69,0,1,
81.25,on,65,127,1,
81.5,off,65,0,1,
81.5,on,67,127,1,
81.75,off,74,0,0,
81.75,on,76,127,0,
82.0,off,50,0,2,
82.0,off,46,0,3,
82.0,off,67,0,1,
82.0,off,76,0,0,
82.0,on,77,127,0,
82.0,on,69,127,1,
82.0,on,49,127,2,
82.0,on,45,127,3,
82.25,off,77,0,0,
82.25,on,76,127,0,
82.5,off,76,0,0,
82.5,on,79,127,0,
82.75,off,69,0,1,
82.75,on,70,127,1,
83.0,off,49,0,2,
83.0,off,70,0,1,
83.0,on,69,127,1,
83.0,on,50,127,2,
83.25,off,79,0,0,
83.25,on,77,127,0,
83.5,off,69,0,1,
83.5,off,50,0,2,
83.5,off,77,0,0,
83.5,on,76,127,0,
83.5,on,67,127,1,
83.5,on,52,127,2,
83.75,off,76,0,0,
83.75,on,74,127,0,
84.0,off,52,0,2,
84.0,off,74,0,0,
84.0,on,73,127,0,
84.0,on,53,127,2,
84.25,off,73,0,0,
84.25,on,69,127,0,
84.5,off,67,0,1,
84.5,off,69,0,0,
84.5,on,74,127,0,
84.5,on,65,127,1,
84.75,off,45,0,3,
84.75,off,65,0,1,
84.75,on,62,127,1,
84.75,on,46,127,3,
85.0,off,62,0,1,
85.0,off,46,0,3,
